"Date","InCount"
"1","2009-01-01","29984"
"2","2009-01-02","271952"
"3","2009-01-03","233643"
"4","2009-01-04","108900"
"5","2009-01-05","175524"
"6","2009-01-06","177943"
"7","2009-01-07","150989"
"8","2009-01-08","172856"
"9","2009-01-09","167812"
"10","2009-01-10","231782"
"11","2009-01-11","100081"
"12","2009-01-12","151202"
"13","2009-01-13","151372"
"14","2009-01-14","161169"
"15","2009-01-15","158218"
"16","2009-01-16","179705"
"17","2009-01-17","248621"
"18","2009-01-18","112842"
"19","2009-01-19","144526"
"20","2009-01-20","182642"
"21","2009-01-21","177083"
"22","2009-01-22","176186"
"23","2009-01-23","195978"
"24","2009-01-24","270262"
"25","2009-01-25","110936"
"26","2009-01-26","178452"
"27","2009-01-27","169815"
"28","2009-01-28","182051"
"29","2009-01-29","167159"
"30","2009-01-30","200459"
"31","2009-01-31","298057"
"32","2009-02-01","112297"
"33","2009-02-02","131445"
"34","2009-02-03","155531"
"35","2009-02-04","174142"
"36","2009-02-05","144231"
"37","2009-02-06","201577"
"38","2009-02-07","300577"
"39","2009-02-08","103501"
"40","2009-02-09","179451"
"41","2009-02-10","189162"
"42","2009-02-11","174818"
"43","2009-02-12","178013"
"44","2009-02-13","267060"
"45","2009-02-14","295938"
"46","2009-02-15","107707"
"47","2009-02-16","213420"
"48","2009-02-17","220214"
"49","2009-02-18","203055"
"50","2009-02-19","232102"
"51","2009-02-20","234176"
"52","2009-02-21","275840"
"53","2009-02-22","107892"
"54","2009-02-23","166357"
"55","2009-02-24","180343"
"56","2009-02-25","173386"
"57","2009-02-26","176434"
"58","2009-02-27","211967"
"59","2009-02-28","302662"
"60","2009-03-01","106894"
"61","2009-03-02","166079"
"62","2009-03-03","151963"
"63","2009-03-04","177449"
"64","2009-03-05","190183"
"65","2009-03-06","204776"
"66","2009-03-07","284704"
"67","2009-03-08","88728"
"68","2009-03-09","159784"
"69","2009-03-10","167390"
"70","2009-03-11","171368"
"71","2009-03-12","180595"
"72","2009-03-13","206203"
"73","2009-03-14","234197"
"74","2009-03-15","102919"
"75","2009-03-16","162825"
"76","2009-03-17","161726"
"77","2009-03-18","177072"
"78","2009-03-19","168056"
"79","2009-03-20","206691"
"80","2009-03-21","286216"
"81","2009-03-22","80780"
"82","2009-03-23","137792"
"83","2009-03-24","156933"
"84","2009-03-25","150340"
"85","2009-03-26","153308"
"86","2009-03-27","169216"
"87","2009-03-28","242393"
"88","2009-03-29","119067"
"89","2009-03-30","151276"
"90","2009-03-31","172309"
"91","2009-04-01","172436"
"92","2009-04-02","187165"
"93","2009-04-03","195167"
"94","2009-04-04","250044"
"95","2009-04-05","108986"
"96","2009-04-06","178283"
"97","2009-04-07","188520"
"98","2009-04-08","175648"
"99","2009-04-09","187818"
"100","2009-04-10","157177"
"101","2009-04-11","221925"
"102","2009-04-12","39376"
"103","2009-04-13","110924"
"104","2009-04-14","187563"
"105","2009-04-15","174789"
"106","2009-04-16","186060"
"107","2009-04-17","204082"
"108","2009-04-18","233099"
"109","2009-04-19","100834"
"110","2009-04-20","190424"
"111","2009-04-21","181243"
"112","2009-04-22","183679"
"113","2009-04-23","185998"
